temperature,DO,pH,conductivity,BOD
28.5,7,6.725,497.3,1.575
27.714,6.543,7.229,130.4,4.014
28.714,6.7,7.307,121.5,3.857
28.667,7.1,7.507,102.5,4.633
26.667,6.333,7.277,542,5.4
26.714,6.471,7.379,204.3,3.729
28.286,6.371,7.061,214,4.5
19.333,6.7,7.44,153.3,4.4
29.083,6.2,6.457,881.1,1.757
27.417,7.286,6.586,82.9,1.071
27.286,6.525,6.5,124.1,1.313
28.6,6.917,6.95,185.4,0.467
28.667,6.8,7.043,8489.9,0.414
27.786,7.075,7.25,107.3,0.988
28.143,7.013,6.712,151.4,1.4
27.5,6.787,6.65,119.3,1.637
28.571,4.1,6.775,511.4,6.788
27,6.9,6.8,224,0.733
26.5,6.867,6.833,292.7,0.633
26.25,6.467,6.6,240,1.033
26.75,6.667,6.933,268,0.933
26.75,6.967,6.933,268,0.833
26.5,6.733,6.867,324,0.933
27,6.714,6.957,143.4,0.671
26.75,6.733,6.733,242.7,0.9
28,7.233,6.867,75.7,1.1
27,6.233,6.9,104.7,0.867
28.5,6.867,7.067,336.7,0.533
28.5,6.433,6.667,339.3,0.6
29,7.033,6.533,141.3,0.533
28.75,6.633,7.067,237,0.633
28,6.833,7,18389,0.7
29.5,6.333,7.167,24535.7,0.7
28,7.033,7.033,241,0.267
28.5,7,7.133,302,0.7
29,3.5,6.567,1285.3,2.133
28.857,6.243,7.253,405.6,0.857
21,6.9,8.2,211,2.8
24,7.8,8.5,197,0.6
33,7.3,8.6,528,0.9
27.5,7.95,6.565,188.5,1.5
29,5.8,6.6,107,1
31.25,6.975,6.725,144.3,1.5
NAN,5.35,7.19,216.3,1.325
30,7.525,6.61,93.3,1.5
29,7.15,6.56,141,1.1
NAN,4.325,7.045,547,2.075
27.5,6.925,7.633,552,2
27.25,6.825,7.125,299.3,3.667
26.667,6.7,7.267,92.7,1.333
26.333,6.75,7.3,169.3,1.667
21.25,5.87,7.84,895.5,4.35
17.667,6.033,7.367,323.3,3.267
16.5,5.1,7.85,785,12
18,4.867,7.367,568,12
17.333,4.833,7.533,760,13.333
17.5,5.1,7.367,388,6.933
15,6.8,7.3,433.5,5.4
17.5,4.2,7.367,758,14.667
18,5.533,7.3,453.3,9.333
17.5,5.2,7.3,391.3,6.267
18,4.2,7.733,825.3,21
18.333,4.033,7.667,855,21.333
18.667,4.133,7.633,811.3,20.333
18,5.35,7.55,682.5,17
19,4.05,7.85,773.5,16
17.5,6.25,7.9,770,14
18.5,6.65,7.875,914.5,43
19.5,7.2,9.01,340.5,4.6
22,6.27,7.89,3638,149.75
20,6.1,7.1,NAN,3.1
26,0.6,7.3,646,87
27,NAN,7.9,1151,130
27,NAN,7.1,912,126
16,7.2,7,183,5.2
15,4.6,3,350,6.2
10,8.8,7,172,1.6
11,10,7.1,150,1
12,9,7.3,158,1.8
23.667,7.767,7.543,NAN,0.5
23.7,7.167,8.143,NAN,0.6
23.767,8.533,7.857,170,0.4
23.667,8.867,7.793,216,0.5
28,5.6,7.65,375.2,1.758
NAN,NAN,7.76,233.3,10.825
NAN,NAN,NAN,NAN,1
NAN,NAN,NAN,NAN,112
26,7.2,7.84,342.8,1.764
27,5,7.22,18370.3,19.663
29,6.2,8.11,480,11.333
27,7.2,8.07,580,4
28,6.2,7.98,11125,5
28,3.9,7.92,1039,14.847
29,7.2,7.42,246.9,4.632
28,6.9,6.44,302.9,2.304
29,7.8,6.69,255.9,2.754
29,6.7,7.35,346.1,1.893
28,8.3,6.68,348.9,2.503
28,8.1,6.18,187.4,2.375
29,7.7,6.55,121.8,2.242
29,8.6,6.56,181.4,2.423
28,7.7,6.45,302.5,2.144
28,7.4,6.07,142.8,1.681
NAN,7,8.16,4545,4.165
NAN,5.9,7.36,761,6.1
27,4.1,7.57,29369.3,7.08
27,3.9,5.27,5914,441.8
NAN,5.7,7.62,665,2.12
NAN,6.1,8,602.5,5.64
14,6.2,7.88,540.7,9.75
19,6.3,8.05,634.3,13
27,7.1,7.2,280.5,1.6
28,7.4,7.27,253.3,1.333
28,7.3,7.3,236.7,4
NAN,5.9,6.6,1359.5,1.755
NAN,7.4,6.68,39.3,1.164
NAN,7.1,6.75,41.9,1.325
NAN,6.8,6.92,70.8,0.458
NAN,6.8,6.98,7179.1,0.475
NAN,6.8,7.03,36.8,1.117
NAN,7.2,6.76,59.8,1.692
NAN,6.2,6.63,106.8,1.275
NAN,6.6,6.77,250.7,1.383
NAN,6.9,6.95,51.3,0.625
NAN,6,6.75,641,0.975
NAN,5.4,6.85,73.3,1.075
NAN,6.7,6.93,65,0.675
NAN,6.9,6.85,56.3,0.575
NAN,6.5,6.98,59.3,0.575
NAN,6.8,7.06,63.3,0.567
NAN,5.8,6.73,73,0.7
NAN,6.8,6.8,69.8,0.7
NAN,7.1,6.83,80,0.7
NAN,6.3,7.15,65.5,1.05
NAN,6.3,6.95,77.5,0.65
NAN,6.9,6.65,34,0.5
NAN,6.4,6.75,49.3,0.675
NAN,6.8,7.35,18568.3,1.15
NAN,6.8,7.08,19740.8,0.975
NAN,7.1,6.98,58.3,0.55
NAN,7,7.23,67.5,0.425
NAN,2.4,6.43,1041.3,2.025
27,6.7,7.56,128.4,4.942
NAN,6.8,7.68,123.2,4.475
NAN,6.5,7.33,135.8,4.4
NAN,5.1,7.45,5168.8,9.875
NAN,6.5,7.34,128.5,5.125
NAN,6.6,7.47,143.8,4.958
NAN,6.6,7.75,136.8,4.5
NAN,7.9,7.85,76.5,3
NAN,7.4,7,82.3,2.027
NAN,7,7.9,77.5,3.525
NAN,6.9,7.73,85.3,3.233
NAN,7.3,7.77,128.3,4.043
NAN,8,7.8,132,3.4
NAN,5.5,6.58,121.3,11.57
NAN,7,7.43,136.7,8.693
20,6.6,7.15,199,7.475
18,6.4,3.05,605,5.067
15,7.1,7.03,147.3,2.1
19,8.1,7.03,148.3,1.967
21,8.3,7.1,152,2.133
25,7.4,6.6,NAN,NAN
25,6.8,6.3,NAN,NAN
25,6.1,7.15,NAN,NAN
26,7.5,7.2,NAN,NAN
28,7.5,7.8,286.5,1.775
30,7.5,7.35,30683,2.25
27,6,7.55,214.5,3.125
32,6.3,7.43,201.3,2.175
29,6.1,8.33,868.5,NAN
NAN,8.1,7.86,342.3,2.747
25,7.3,7.3,157,2.067
NAN,4.9,7.33,494.7,14.533
28,6.3,7.58,379.8,6.7
28,6.1,7.58,490,14.25
25,6.8,7.43,337.5,4.25
26,6.7,7.38,333.5,3.85
27,5.9,7.48,428,8.35
25,6.5,7.4,361.8,4.3
25,6.9,7.4,322,3.75
26,5.1,7.48,496.5,14.7
28,5,7.4,515.3,14.76
28,5.1,7.43,503.3,16.25
16,6.2,7.63,423.3,7
NAN,4.4,8.23,390,1.39
NAN,4.2,8.52,380,1.26
23,4,7.65,729,36
22,8,8.31,617,4.4
NAN,4.2,8.55,1184.7,341.833
NAN,5,7.92,160,1.443
25,7.5,7.53,87.3,1.407
27,6.6,7.27,162.3,3.555
28,6.8,7.12,172.3,1.723
NAN,6.7,7.6,277.8,1.229
28,7.1,6.94,95.8,0.943
27,7.4,7,88.5,0.977
NAN,6.6,7.81,603.2,2.675
28,6.6,7.49,571.5,2.091
28,5.4,7.16,75.8,2.092
30,5.4,7.37,104.8,1.802
29,5.3,7.37,102.2,2.552
30,7.8,239,6.2,1.7
29,7.5,442,6.7,3.4
29,7,430,6.4,2.4
29,7.2,216,7.1,1.8
29,7.9,352,4.5,4.2
28,7,86,7.8,4.7
29,6.8,65,7.5,1.8
28,7.1,101,7.8,2
27,7,78,7.6,1.8
29,7.2,60,8,1.9
28,6.6,76,7.1,1.9
NAN,NAN,NAN,NAN,NAN
28,8,368,7.4,1
28,7.5,21331,3.6,11.7
30,8.1,540,7.2,2.5
29,8.1,443,4,2
29,8.1,467,7.1,3
32,7.8,1304,4.6,19.5
30,8,1708,7.8,3.5
28,7.5,1175,5.7,4
28,7.5,67115,5,5.5
27,4,9948,0.4,513.5
28,7.7,1148,4.8,6.9
28,8,590,4.8,1.8
27,7.7,440,6.5,2.4
28,6.4,1579,5.8,1.7
27,6.8,62,7.5,1.5
28,6.9,44,6.8,1
28,6.9,62,6.8,0.4
28,7,9416,6.7,0.5
24,6.9,39,6.9,1.1
28,7.1,53,6.9,1.4
28,6.9,102,6.4,1.2
27,6.8,437,5.7,1.1
27,7.3,58,7,0.6
26,6.9,1835,5.9,1.2
27,6.8,60,5,0.9
29,7.2,80,6.8,0.8
27,7,42,7.3,0.4
26,7,51,6.7,0.5
26,7.1,58,6.8,0.5
26,7,63,6.4,0.6
27,6.8,72,6.6,0.6
26,6.8,83,6.5,0.9
24,7,69,6.4,1.2
28,6.8,88,6.9,0.9
27,6.9,31,7,0.5
27,6.8,46,6.9,0.5
26,7.2,20850,6.5,0.9
25,7,24336,6.7,1.1
25,7.1,77,7.2,0.3
25,7.1,76,7,0.4
29,6.5,3384,3.7,1.9
26,7.7,280,6.6,5.7
27,7.8,183,6.9,5
24,7.7,107,6.8,5.2
25,7.5,185,5.6,6.5
27,7.3,157,6,5.6
28,7.4,150,6.3,6
26,7.4,139,5.8,5.9
21,7.3,111,7.1,2.4
21,7.4,74,7.5,1.2
21,7.5,77,7.4,3.2
21,7.3,97,7.3,1.9
21,7.4,121,7.5,2.7
21,7.4,142,6.7,1.3
23,7.3,112,8.1,17.2
21,7.5,124,3.7,18.5
20,6.9,223,6.3,6.8
17,3.1,493,5.8,5.9
15,6.9,142,7.3,2.2
20,6.9,145,7.8,1.8
21,7,145,7.3,2.3
30,8.1,569,8.2,1.6
27,7.7,28598,7.7,1.7
30,7.4,219,6.8,3
29,7.2,198,7.2,2.1
29,8,978,5.4,9
21,7.6,203,6.3,1.9
29,7.2,150,7.5,1.3
31,7.3,178,6.7,1.5
29,7.1,214,6.8,2.3
NAN,7.5,293,7.2,1.2
28,6.9,146,7.1,2
28,7,136,7.5,1.4
NAN,7.9,738,7.2,2.7
29,7.5,585,6.3,2.6
28,7.6,98,6.2,1.2
28,7.7,91,6.5,1.3
29,7.6,110,5.7,1.1
